time_s,round,row,column,adc_u8,voltage_v
30.106248,16,9,5,138,1.785882
30.156019,16,9,7,134,1.734118
30.205946,16,9,9,139,1.798824
30.255933,16,9,11,133,1.721176
30.306930,16,11,1,138,1.785882
30.356996,16,11,3,126,1.630588
30.404923,16,11,5,101,1.307059
30.455911,16,11,7,139,1.798824
30.506947,16,11,9,139,1.798824
30.556106,16,11,11,82,1.061176
30.605036,17,1,1,138,1.785882
30.656971,17,1,3,123,1.591765
30.706988,17,1,5,126,1.630588
30.755970,17,1,7,61,0.789412
30.805069,17,1,9,139,1.798824
30.854966,17,1,11,109,1.410588
30.905976,17,3,1,140,1.811765
30.956995,17,3,3,140,1.811765
31.005145,17,3,5,58,0.750588
31.055038,17,3,7,115,1.488235
31.103951,17,3,9,139,1.798824
31.155038,17,3,11,127,1.643529
31.205896,17,5,1,142,1.837647
31.255072,17,5,3,140,1.811765
31.304972,17,5,5,141,1.824706
31.354949,17,5,7,138,1.785882
31.403048,17,5,9,138,1.785882
31.454971,17,5,11,138,1.785882
31.506071,17,7,1,141,1.824706
31.555059,17,7,3,140,1.811765
31.605903,17,7,5,141,1.824706
31.656070,17,7,7,140,1.811765
31.706043,17,7,9,139,1.798824
31.754003,17,7,11,140,1.811765
31.806970,17,9,1,141,1.824706
31.856024,17,9,3,141,1.824706
31.907408,17,9,5,138,1.785882
31.957128,17,9,7,142,1.837647
32.004983,17,9,9,140,1.811765
32.053920,17,9,11,138,1.785882
32.107013,17,11,1,140,1.811765
32.155002,17,11,3,140,1.811765
32.204980,17,11,5,137,1.772941
32.255120,17,11,7,137,1.772941
32.307350,17,11,9,140,1.811765
32.351969,17,11,11,137,1.772941
32.407075,18,1,1,139,1.798824
32.455039,18,1,3,137,1.772941
32.505006,18,1,5,142,1.837647
32.556092,18,1,7,130,1.682353
32.603920,18,1,9,141,1.824706
32.655203,18,1,11,136,1.760000
32.705075,18,3,1,142,1.837647
32.756049,18,3,3,138,1.785882
32.805069,18,3,5,129,1.669412
32.856963,18,3,7,138,1.785882
32.905023,18,3,9,138,1.785882
32.955922,18,3,11,124,1.604706
33.006924,18,5,1,142,1.837647
33.055923,18,5,3,140,1.811765
33.107012,18,5,5,139,1.798824
33.155110,18,5,7,142,1.837647
33.205033,18,5,9,138,1.785882
33.255005,18,5,11,140,1.811765
33.305021,18,7,1,142,1.837647
33.356078,18,7,3,137,1.772941
33.407208,18,7,5,139,1.798824
33.455950,18,7,7,142,1.837647
33.505848,18,7,9,139,1.798824
33.551855,18,7,11,138,1.785882
33.601960,18,9,1,141,1.824706
33.654848,18,9,3,140,1.811765
33.707013,18,9,5,138,1.785882
33.757175,18,9,7,143,1.850588
33.805046,18,9,9,139,1.798824
33.857075,18,9,11,142,1.837647
33.905970,18,11,1,142,1.837647
33.957203,18,11,3,142,1.837647
34.004946,18,11,5,140,1.811765
34.056911,18,11,7,138,1.785882
34.104959,18,11,9,138,1.785882
34.155980,18,11,11,138,1.785882
34.205095,19,1,1,140,1.811765
34.254935,19,1,3,137,1.772941
34.304967,19,1,5,138,1.785882
34.355857,19,1,7,139,1.798824
34.403855,19,1,9,142,1.837647
34.454955,19,1,11,139,1.798824
34.506100,19,3,1,142,1.837647
34.555970,19,3,3,136,1.760000
34.605091,19,3,5,137,1.772941
34.655962,19,3,7,136,1.760000
34.704029,19,3,9,139,1.798824
34.757012,19,3,11,130,1.682353
34.806024,19,5,1,142,1.837647
34.855980,19,5,3,138,1.785882
34.905002,19,5,5,140,1.811765
34.955990,19,5,7,138,1.785882
35.005107,19,5,9,138,1.785882
35.053933,19,5,11,141,1.824706
35.106020,19,7,1,142,1.837647
35.156119,19,7,3,140,1.811765
35.206042,19,7,5,138,1.785882
35.255146,19,7,7,140,1.811765
35.307023,19,7,9,140,1.811765
35.355041,19,7,11,140,1.811765
35.405981,19,9,1,142,1.837647
35.451901,19,9,3,92,1.190588
35.507045,19,9,5,137,1.772941
35.555131,19,9,7,94,1.216471
35.605023,19,9,9,139,1.798824
35.657008,19,9,11,119,1.540000
35.704927,19,11,1,142,1.837647
35.757009,19,11,3,136,1.760000
35.804953,19,11,5,137,1.772941
35.855042,19,11,7,135,1.747059
35.906941,19,11,9,142,1.837647
35.956977,19,11,11,134,1.734118
36.006054,20,1,1,142,1.837647
36.056081,20,1,3,142,1.837647
36.106194,20,1,5,142,1.837647
36.155050,20,1,7,132,1.708235
36.207028,20,1,9,139,1.798824
36.256085,20,1,11,140,1.811765
36.305085,20,3,1,138,1.785882
36.357110,20,3,3,138,1.785882
36.404043,20,3,5,137,1.772941
36.456091,20,3,7,138,1.785882
36.505029,20,3,9,142,1.837647
36.556979,20,3,11,132,1.708235
36.606152,20,5,1,142,1.837647
36.656004,20,5,3,140,1.811765
36.704953,20,5,5,140,1.811765
36.755032,20,5,7,138,1.785882
36.804960,20,5,9,138,1.785882
36.855082,20,5,11,138,1.785882
36.907041,20,7,1,138,1.785882
36.955071,20,7,3,140,1.811765
37.005134,20,7,5,142,1.837647
37.052991,20,7,7,140,1.811765
37.105978,20,7,9,138,1.785882
37.155906,20,7,11,141,1.824706
37.205926,20,9,1,142,1.837647
37.254990,20,9,3,107,1.384706
37.306981,20,9,5,137,1.772941
37.355089,20,9,7,93,1.203529
37.403097,20,9,9,140,1.811765
37.455962,20,9,11,124,1.604706
37.506129,20,11,1,138,1.785882
37.552918,20,11,3,96,1.242353
37.605103,20,11,5,139,1.798824
37.656044,20,11,7,120,1.552941
37.706015,20,11,9,142,1.837647
37.755142,20,11,11,120,1.552941
37.806175,21,1,1,140,1.811765
37.855296,21,1,3,139,1.798824
37.907047,21,1,5,140,1.811765
37.955967,21,1,7,68,0.880000
38.005009,21,1,9,141,1.824706
38.054954,21,1,11,137,1.772941
38.104952,21,3,1,142,1.837647
38.151982,21,3,3,115,1.488235
38.205986,21,3,5,137,1.772941
38.256170,21,3,7,142,1.837647
38.302958,21,3,9,140,1.811765
38.354933,21,3,11,130,1.682353
38.404956,21,5,1,142,1.837647
38.452899,21,5,3,140,1.811765
38.504913,21,5,5,137,1.772941
