action_elapsed_s,N001,N002,N003,N004,N005,N006,N007,N008,N009,N010,N011,N012,N013,N014,N015,N016,N017,N018
4.700000,0.086639,0.000000,0.000000,0.000000,0.540196,0.000000,0.371436,0.000000,0.000000,0.000000,0.070099,0.780277,0.000000,0.000000,0.000000,0.000000,1.000000,0.452822
4.750000,0.061965,0.000000,0.000000,0.000000,0.550066,0.000000,0.248062,0.000000,0.000000,0.000000,0.089839,0.475207,0.000000,0.000000,0.000000,0.000000,1.000000,0.487366
4.800000,0.037290,0.000000,0.000000,0.000000,0.559936,0.000000,0.124688,0.000000,0.000000,0.000000,0.109579,0.170137,0.000000,0.000000,0.000000,0.000000,1.000000,0.521911
4.850000,0.032307,0.000000,0.000000,0.000000,0.565440,0.000000,0.058077,0.000000,0.000000,0.000000,0.120588,0.002095,0.000000,0.000000,0.000000,0.000000,1.000000,0.545565
4.900000,0.052153,0.000000,0.000000,0.000000,0.565440,0.000000,0.063039,0.000000,0.000000,0.000000,0.120588,0.006831,0.000000,0.000000,0.000000,0.000000,1.000000,0.555488
4.950000,0.072000,0.000000,0.000000,0.000000,0.565440,0.000000,0.068000,0.000000,0.000000,0.000000,0.120588,0.011567,0.000000,0.000000,0.000000,0.000000,1.000000,0.565411
5.000000,0.088235,0.000000,0.000000,0.000000,0.565440,0.000000,0.072946,0.000000,0.000000,0.000000,0.120588,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.574416
5.050000,0.088235,0.000000,0.000000,0.000000,0.565440,0.000000,0.077820,0.000000,0.000000,0.000000,0.120588,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.579290
5.100000,0.088235,0.000000,0.000000,0.000000,0.565440,0.000000,0.082694,0.000000,0.000000,0.000000,0.120588,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.584163
5.150000,0.088235,0.000000,0.000000,0.000000,0.565440,0.000000,0.087569,0.000000,0.000000,0.000000,0.120588,0.015441,0.000000,0.000000,0.000000,0.000000,1.000000,0.589037
5.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.550000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.650000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.950000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.250000,0.000000,0.000000,0.000000,0.000000,0.593951,0.000000,0.233824,0.000000,0.000000,0.000000,0.088235,0.172560,0.000000,0.000000,0.000000,0.000000,1.000000,0.654411
6.300000,0.000000,0.000000,0.000000,0.000000,0.589041,0.000000,0.233824,0.000000,0.000000,0.000000,0.088235,0.187290,0.000000,0.000000,0.000000,0.000000,1.000000,0.654411
6.350000,0.000000,0.000000,0.000000,0.000000,0.584131,0.000000,0.233824,0.000000,0.000000,0.000000,0.088235,0.202020,0.000000,0.000000,0.000000,0.000000,1.000000,0.654411
6.400000,0.000000,0.000000,0.000000,0.000000,0.581617,0.000000,0.233824,0.000000,0.000000,0.000000,0.088235,0.207136,0.000000,0.000000,0.000000,0.000000,1.000000,0.656833
6.450000,0.000000,0.000000,0.000000,0.000000,0.581617,0.000000,0.233824,0.000000,0.000000,0.000000,0.088235,0.202175,0.000000,0.000000,0.000000,0.000000,1.000000,0.661795
6.500000,0.000000,0.000000,0.000000,0.000000,0.581617,0.000000,0.233824,0.000000,0.000000,0.000000,0.088235,0.197213,0.000000,0.000000,0.000000,0.000000,1.000000,0.666756
6.550000,0.000507,0.000000,0.000000,0.000000,0.581617,0.000000,0.234940,0.000000,0.000000,0.000000,0.088235,0.194498,0.000000,0.000000,0.000000,0.000000,1.000000,0.670588
6.600000,0.002735,0.000000,0.000000,0.000000,0.581617,0.000000,0.239842,0.000000,0.000000,0.000000,0.088235,0.199400,0.000000,0.000000,0.000000,0.000000,1.000000,0.670588
6.650000,0.004963,0.000000,0.000000,0.000000,0.581617,0.000000,0.244743,0.000000,0.000000,0.000000,0.088235,0.204301,0.000000,0.000000,0.000000,0.000000,1.000000,0.670588
6.700000,0.007191,0.000000,0.000000,0.000000,0.581617,0.000000,0.249645,0.000000,0.000000,0.000000,0.088235,0.209203,0.000000,0.000000,0.000000,0.000000,1.000000,0.670588
6.750000,0.026003,0.000000,0.000000,0.000000,0.581617,0.000000,0.250000,0.000000,0.000000,0.000000,0.088235,0.209559,0.000000,0.000000,0.000000,0.000000,1.000000,0.648207
6.800000,0.046110,0.000000,0.000000,0.000000,0.581617,0.000000,0.250000,0.000000,0.000000,0.000000,0.088235,0.209559,0.000000,0.000000,0.000000,0.000000,1.000000,0.624078
6.850000,0.066218,0.000000,0.000000,0.000000,0.581617,0.000000,0.250000,0.000000,0.000000,0.000000,0.088235,0.209559,0.000000,0.000000,0.000000,0.000000,1.000000,0.599949
6.900000,0.086326,0.000000,0.000000,0.000000,0.581617,0.000000,0.250000,0.000000,0.000000,0.000000,0.088235,0.209559,0.000000,0.000000,0.000000,0.000000,1.000000,0.575820
6.950000,0.127200,0.000000,0.000000,0.000000,0.586088,0.000000,0.254470,0.000000,0.000000,0.000000,0.088235,0.200619,0.000000,0.000000,0.000000,0.000000,1.000000,0.569059
7.000000,0.170254,0.000000,0.000000,0.000000,0.591027,0.000000,0.259409,0.000000,0.000000,0.000000,0.088235,0.190741,0.000000,0.000000,0.000000,0.000000,1.000000,0.564120
